Date,Point
2022-11-07,47.9525
2022-11-08,48.9164
2022-11-09,47.4522
2022-11-10,53.1754
2022-11-11,55.2824
2022-11-14,54.0808
2022-11-15,56.2298
2022-11-16,54.1508
2022-11-17,52.1403
2022-11-18,51.6001
2022-11-21,50.5014
2022-11-22,51.2384
2022-11-23,52.6013
2022-11-25,52.3655
2022-11-28,51.637
2022-11-29,51.0059
2022-11-30,53.7269
2022-12-01,55.019
2022-12-02,54.1383
2022-12-05,51.3732
2022-12-06,50.397
2022-12-07,50.6343
2022-12-08,52.5218
2022-12-09,52.2564
2022-12-12,53.9756
2022-12-13,55.1954
2022-12-14,55.3541
2022-12-15,53.1053
2022-12-16,52.8228
2022-12-19,51.3685
2022-12-20,51.7569
2022-12-21,52.3509
2022-12-22,50.962
2022-12-23,50.7349
2022-12-27,49.9427
2022-12-28,49.6724
2022-12-29,51.7871
2022-12-30,51.6665
2023-01-03,51.369
2023-01-04,51.6845
2023-01-05,48.91
2023-01-06,49.1435
2023-01-09,50.6613
2023-01-10,50.9244
2023-01-11,52.0906
2023-01-12,52.6809
2023-01-13,53.1306
2023-01-17,53.9393
2023-01-18,53.2375
2023-01-19,52.4149
2023-01-20,54.4041
2023-01-23,56.0035
2023-01-24,55.2875
2023-01-25,55.1256
2023-01-26,56.7869
2023-01-27,57.6904
2023-01-30,56.297
2023-01-31,57.4573
2023-02-01,60.153
2023-02-02,62.9468
2023-02-03,59.859
2023-02-06,58.7368
2023-02-07,60.5193
2023-02-08,59.5748
2023-02-09,59.0528
2023-02-10,57.7782
2023-02-13,58.727
2023-02-14,59.8714
2023-02-15,60.9402
2023-02-16,58.8439
2023-02-17,58.2377
2023-02-21,56.7371
2023-02-22,57.5515
2023-02-23,57.8974
2023-02-24,56.4575
2023-02-27,56.5387
2023-02-28,56.5345
2023-03-01,55.9337
2023-03-02,57.0151
2023-03-03,58.5276
2023-03-06,58.2129
2023-03-07,57.7263
2023-03-08,57.8164
2023-03-09,55.8618
2023-03-10,53.2582
2023-03-13,53.7793
2023-03-14,54.936
2023-03-15,55.0401
2023-03-16,56.341
2023-03-17,55.8918
2023-03-20,55.4234
2023-03-21,57.1215
2023-03-22,55.3985
2023-03-23,56.6174
2023-03-24,56.259
2023-03-27,56.3491
2023-03-28,56.1145
2023-03-29,57.434
2023-03-30,58.1034
2023-03-31,60.2059
2023-04-03,59.2699
2023-04-04,59.3632
2023-04-05,57.5021
2023-04-06,57.8942
2023-04-10,57.8697
2023-04-11,57.6137
2023-04-12,57.5654
2023-04-13,58.7115
2023-04-14,58.2533
2023-04-17,58.7337
2023-04-18,58.8384
2023-04-19,58.6437
2023-04-20,57.9715
2023-04-21,58.4236
2023-04-24,57.5145
2023-04-25,54.9114
2023-04-26,55.7147
2023-04-27,56.4729
2023-04-28,56.4638
2023-05-01,56.2279
2023-05-02,54.884
2023-05-03,54.2213
2023-05-04,54.559
2023-05-05,55.2525
2023-05-08,55.9948
2023-05-09,56.0573
2023-05-10,57.2105
2023-05-11,56.7506
2023-05-12,56.4357
2023-05-15,58.0437
2023-05-16,57.5691
2023-05-17,59.0132
2023-05-18,60.3169
2023-05-19,60.1294
2023-05-22,61.306
2023-05-23,60.3046
2023-05-24,60.2568
2023-05-25,60.3124
2023-05-26,61.7927
2023-05-30,62.4781
2023-05-31,63.643
2023-06-01,63.7724
2023-06-02,65.513
2023-06-05,66.207
2023-06-06,67.1302
2023-06-07,64.4179
2023-06-08,65.1434
2023-06-09,65.4975
2023-06-12,66.9901
2023-06-13,67.8
2023-06-14,67.67
2023-06-15,69.0975
2023-06-16,68.2799
2023-06-20,67.6621
2023-06-21,66.0803
2023-06-22,66.5342
2023-06-23,65.9461
2023-06-26,65.2848
2023-06-27,66.4414
2023-06-28,67.1198
2023-06-29,66.9129
2023-06-30,67.8284
2023-07-03,67.5439
2023-07-05,67.4825
2023-07-06,66.5795
2023-07-07,66.4491
2023-07-10,68.2003
2023-07-11,69.0264
2023-07-12,69.4367
2023-07-13,71.2107
2023-07-14,70.8305
2023-07-17,72.0291
2023-07-18,72.9451
2023-07-19,73.345
2023-07-20,70.7407
2023-07-21,70.7127
2023-07-24,70.3037
2023-07-25,71.1709
2023-07-26,71.0719
2023-07-27,70.384
2023-07-28,71.8395
2023-07-31,73.3277
2023-08-01,73.2689
2023-08-02,69.3442
2023-08-03,68.7611
2023-08-04,68.5115
2023-08-07,68.8301
2023-08-08,67.0953
2023-08-09,66.367
2023-08-10,67.0048
2023-08-11,66.9304
2023-08-14,67.7235
2023-08-15,66.9292
2023-08-16,66.4802
2023-08-17,65.1325
2023-08-18,65.5109
2023-08-21,66.4019
2023-08-22,66.6066
2023-08-23,67.8058
2023-08-24,66.043
2023-08-25,67.4192
2023-08-28,67.5281
2023-08-29,68.9364
2023-08-30,69.776
2023-08-31,71.0799
2023-09-01,71.7968
2023-09-05,71.8904
2023-09-06,71.7145
2023-09-07,71.6737
2023-09-08,71.264
2023-09-11,72.0922
2023-09-12,70.5599
2023-09-13,69.9983
2023-09-14,69.9199
2023-09-15,68.8679
2023-09-18,68.6373
2023-09-19,68.4052
2023-09-20,67.8227
2023-09-21,65.6026
2023-09-22,65.867
2023-09-25,65.8714
2023-09-26,64.5716
2023-09-27,65.361
2023-09-28,65.994
2023-09-29,66.5233
2023-10-02,66.7115
2023-10-03,64.7358
2023-10-04,65.6002
2023-10-05,65.3182
2023-10-06,67.6899
2023-10-09,68.1472
2023-10-10,68.3103
2023-10-11,68.5128
2023-10-12,67.6573
2023-10-13,66.5939
2023-10-16,67.8971
2023-10-17,68.4654
2023-10-18,66.9902
2023-10-19,66.6992
2023-10-20,64.7
2023-10-23,64.37
2023-10-24,65.3612
2023-10-25,62.4313
2023-10-26,62.0617
2023-10-27,62.1663
2023-10-30,62.706
2023-10-31,63.5983
2023-11-01,62.1733
2023-11-02,63.3062
2023-11-03,64.3615
2023-11-06,63.8507
2023-11-07,65.9224
2023-11-08,66.0597
2023-11-09,64.5545
2023-11-10,66.1107
2023-11-13,66.2906
2023-11-14,69.0964
2023-11-15,69.1301
2023-11-16,68.7703
2023-11-17,69.3725
2023-11-20,70.4783
2023-11-21,69.9892
2023-11-22,70.076
2023-11-24,70.3147
2023-11-27,70.1105
2023-11-28,70.6926
2023-11-29,72.3317
2023-11-30,72.4735
2023-12-01,74.2687
2023-12-04,73.9492
2023-12-05,73.8796
2023-12-06,72.9109
2023-12-07,72.7505
2023-12-08,73.4644
2023-12-11,74.3972
2023-12-12,75.1008
2023-12-13,76.4982
2023-12-14,76.6708
2023-12-15,77.2335
2023-12-18,77.7619
2023-12-19,78.4103
2023-12-20,77.0842
2023-12-21,78.3341
2023-12-22,78.4179
2023-12-26,78.9659
2023-12-27,78.9812
2023-12-28,78.9882
2023-12-29,78.2267
2024-01-02,75.3342
2024-01-03,73.5192
2024-01-04,73.2733
2024-01-05,73.4628
2024-01-08,75.8444
2024-01-09,76.5346
2024-01-10,77.3734
2024-01-11,77.9275
2024-01-12,77.9391
2024-01-16,77.8999
2024-01-17,77.3433
2024-01-18,77.9382
2024-01-19,79.1075
2024-01-22,80.2452
2024-01-23,80.5855
2024-01-24,80.2505
2024-01-25,80.2139
2024-01-26,80.4501
2024-01-29,82.9078
2024-01-30,82.4806
2024-01-31,80.3052
2024-02-01,81.1104
2024-02-02,81.8691
2024-02-05,80.841
2024-02-06,81.0102
2024-02-07,82.317
2024-02-08,83.5836
2024-02-09,85.198
2024-02-12,83.6839
2024-02-13,81.5785
2024-02-14,83.8225
2024-02-15,83.5746
2024-02-16,82.0027
