Model,Arena Score
ChatGPT-4o-latest (2024-09-03),"1,338"
o1-preview,"1,335"
o1-mini,"1,314"
Gemini-1.5-Pro-002,"1,304"
Gemini-1.5-Pro-Exp-0827,"1,299"
Grok-2-08-13,"1,293"
GPT-4o-2024-05-13,"1,285"
GPT-4o-mini-2024-07-18,"1,273"
Gemini-1.5-Flash-Exp-0827,"1,269"
Claude 3.5 Sonnet,"1,268"
Grok-2-Mini-08-13,"1,268"
Meta-Llama-3.1-405b-Instruct-bf16,"1,267"
Gemini-1.5-Flash-002,"1,265"
Meta-Llama-3.1-405b-Instruct-fp8,"1,266"
Gemini Advanced App (2024-05-14),"1,266"
