Date,STH SaaS Index,S&P 500,Nasdaq NDXT
5/4/2022 16:00:00,-38.43%,-8.51%,-21.19%
5/5/2022 16:00:00,-34.32%,-8.02%,-17.86%
5/6/2022 16:00:00,-42.70%,-5.04%,-23.69%
5/9/2022 16:00:00,-47.16%,-8.60%,-26.31%
5/10/2022 16:00:00,-55.33%,-9.17%,-32.05%
5/11/2022 16:00:00,-55.00%,-12.37%,-29.98%
5/12/2022 16:00:00,-60.58%,-12.13%,-33.59%
5/13/2022 16:00:00,-58.02%,-13.78%,-32.69%
5/16/2022 16:00:00,-48.90%,-13.90%,-27.02%
5/17/2022 16:00:00,-54.28%,-11.52%,-29.57%
5/18/2022 16:00:00,-53.31%,-11.91%,-26.53%
5/19/2022 16:00:00,-58.25%,-9.90%,-31.64%
5/20/2022 16:00:00,-53.94%,-13.94%,-30.26%
5/23/2022 16:00:00,-52.89%,-14.52%,-29.59%
5/24/2022 16:00:00,-52.78%,-14.50%,-28.84%
5/25/2022 16:00:00,-57.83%,-12.65%,-31.97%
5/26/2022 16:00:00,-53.45%,-13.46%,-29.43%
5/27/2022 16:00:00,-50.85%,-12.52%,-25.85%
5/31/2022 16:00:00,-45.86%,-10.53%,-21.75%
6/1/2022 16:00:00,-49.01%,-8.05%,-23.08%
6/2/2022 16:00:00,-48.75%,-8.68%,-24.01%
6/3/2022 16:00:00,-41.23%,-9.43%,-19.66%
6/6/2022 16:00:00,-44.55%,-7.59%,-22.47%
6/7/2022 16:00:00,-44.75%,-9.22%,-22.27%
6/8/2022 16:00:00,-41.82%,-8.91%,-20.64%
6/9/2022 16:00:00,-41.79%,-7.95%,-21.80%
6/10/2022 16:00:00,-44.96%,-9.03%,-24.72%
6/13/2022 16:00:00,-50.39%,-11.41%,-29.16%
6/14/2022 16:00:00,-57.74%,-14.32%,-35.18%
6/15/2022 16:00:00,-57.53%,-18.20%,-34.63%
6/16/2022 16:00:00,-53.39%,-18.58%,-32.00%
6/17/2022 16:00:00,-59.33%,-17.12%,-37.50%
6/21/2022 16:00:00,-55.52%,-20.37%,-36.03%
6/22/2022 16:00:00,-53.13%,-20.15%,-33.52%
6/23/2022 16:00:00,-52.24%,-17.70%,-33.93%
6/24/2022 16:00:00,-46.01%,-17.83%,-31.77%
6/27/2022 16:00:00,-40.95%,-16.88%,-27.13%
6/28/2022 16:00:00,-43.21%,-13.82%,-28.29%
6/29/2022 16:00:00,-48.13%,-14.12%,-31.75%
6/30/2022 16:00:00,-48.16%,-16.13%,-32.38%
7/1/2022 16:00:00,-50.81%,-16.21%,-34.11%
7/5/2022 16:00:00,-47.88%,-17.08%,-34.04%
7/6/2022 16:00:00,-42.60%,-16.03%,-31.56%
7/7/2022 16:00:00,-43.45%,-15.87%,-31.23%
7/8/2022 16:00:00,-40.69%,-15.51%,-28.14%
7/11/2022 16:00:00,-41.28%,-14.01%,-28.12%
7/12/2022 16:00:00,-44.09%,-14.10%,-30.81%
7/13/2022 16:00:00,-49.48%,-15.25%,-32.68%
7/14/2022 16:00:00,-50.04%,-16.17%,-32.76%
7/15/2022 16:00:00,-52.35%,-16.62%,-32.88%
