Date,YC Post-IPO Index,S&P 500,Nasdaq NDXT
24-May-2022,-70.86%,-12.65%,-31.97%
25-May-2022,-64.41%,-13.46%,-29.43%
26-May-2022,-58.60%,-12.52%,-25.85%
27-May-2022,-49.55%,-10.53%,-21.75%
31-May-2022,-56.48%,-8.05%,-23.08%
1-Jun-2022,-48.89%,-8.68%,-24.01%
2-Jun-2022,-44.15%,-9.43%,-19.66%
3-Jun-2022,-41.63%,-7.59%,-22.47%
6-Jun-2022,-35.28%,-9.22%,-22.27%
7-Jun-2022,-38.08%,-8.91%,-20.64%
8-Jun-2022,-46.42%,-7.95%,-21.80%
9-Jun-2022,-51.16%,-9.03%,-24.72%
10-Jun-2022,-60.47%,-11.41%,-29.16%
13-Jun-2022,-75.38%,-14.32%,-35.18%
14-Jun-2022,-76.93%,-18.20%,-34.63%
15-Jun-2022,-73.00%,-18.58%,-32.00%
16-Jun-2022,-76.34%,-17.12%,-37.50%
17-Jun-2022,-65.37%,-20.37%,-36.03%
21-Jun-2022,-58.75%,-20.15%,-33.52%
22-Jun-2022,-60.29%,-17.70%,-33.93%
23-Jun-2022,-58.54%,-17.83%,-31.77%
24-Jun-2022,-66.60%,-16.88%,-27.13%
27-Jun-2022,-80.55%,-13.82%,-28.29%
28-Jun-2022,-79.76%,-14.12%,-31.75%
29-Jun-2022,-85.27%,-16.13%,-32.38%
30-Jun-2022,-78.52%,-16.21%,-34.11%
1-Jul-2022,-77.92%,-17.08%,-34.04%
5-Jul-2022,-79.84%,-16.03%,-31.56%
6-Jul-2022,-81.90%,-15.87%,-31.23%
7-Jul-2022,-78.57%,-15.51%,-28.14%
8-Jul-2022,-79.67%,-14.01%,-28.12%
11-Jul-2022,-88.29%,-14.10%,-30.81%
12-Jul-2022,-84.92%,-15.25%,-32.68%
13-Jul-2022,-79.87%,-16.17%,-32.76%
14-Jul-2022,-85.74%,-16.62%,-32.88%
15-Jul-2022,-83.89%,-16.92%,-30.42%
18-Jul-2022,-81.78%,-15.00%,-31.14%
19-Jul-2022,-73.78%,-15.84%,-27.37%
20-Jul-2022,-74.17%,-13.07%,-24.23%
21-Jul-2022,-78.18%,-12.48%,-22.61%
22-Jul-2022,-83.20%,-11.50%,-25.05%
25-Jul-2022,-85.82%,-12.43%,-26.11%
26-Jul-2022,-93.24%,-12.30%,-29.02%
27-Jul-2022,-93.25%,-13.45%,-24.32%
28-Jul-2022,-89.03%,-10.84%,-22.92%
29-Jul-2022,-87.92%,-9.62%,-21.78%
1-Aug-2022,-87.32%,-8.20%,-21.37%
2-Aug-2022,-78.11%,-8.49%,-21.24%
3-Aug-2022,-76.45%,-9.15%,-18.50%
4-Aug-2022,-69.55%,-7.59%,-18.32%
5-Aug-2022,-69.91%,-7.67%,-18.20%
8-Aug-2022,-71.94%,-7.83%,-18.54%
9-Aug-2022,-74.37%,-7.95%,-21.46%
10-Aug-2022,-69.22%,-8.38%,-17.51%
11-Aug-2022,-67.59%,-6.25%,-18.45%
12-Aug-2022,-56.03%,-6.32%,-15.93%
15-Aug-2022,-61.11%,-4.59%,-15.29%
16-Aug-2022,-60.52%,-4.19%,-16.31%
17-Aug-2022,-71.47%,-4.00%,-18.61%
