Cumulative return,Cumulative return,Cumulative return
STH SaaS Index,S&P 500,Nasdaq NDXT
-30.85%,-4.73%,-17.96%
-34.02%,-4.50%,-20.84%
-36.89%,-5.79%,-23.97%
-37.27%,-7.93%,-23.87%
-35.84%,-8.15%,-23.41%
-33.68%,-7.86%,-21.03%
-37.63%,-6.45%,-25.59%
-39.79%,-9.82%,-27.18%
-39.50%,-10.49%,-27.97%
-40.57%,-11.59%,-28.66%
-46.00%,-12.37%,-31.22%
-46.23%,-12.07%,-32.21%
-46.88%,-13.15%,-33.24%
-44.19%,-13.56%,-31.16%
-42.02%,-11.72%,-29.68%
-37.32%,-11.06%,-26.23%
-35.49%,-9.53%,-25.14%
-41.11%,-8.48%,-31.01%
-40.03%,-12.80%,-30.48%
-42.59%,-12.46%,-32.66%
-45.72%,-13.59%,-33.86%
-45.02%,-14.31%,-33.17%
-47.01%,-13.62%,-34.48%
-48.39%,-14.75%,-35.95%
-51.94%,-16.46%,-38.17%
-53.47%,-17.31%,-39.51%
-54.60%,-19.03%,-40.57%
-52.72%,-20.06%,-39.73%
-49.47%,-20.28%,-37.64%
-51.20%,-18.31%,-39.89%
-52.51%,-20.42%,-41.42%
-50.06%,-21.93%,-38.17%
-45.18%,-19.34%,-34.44%
-44.65%,-16.28%,-33.91%
-44.58%,-16.48%,-34.60%
-49.58%,-17.51%,-39.65%
-54.25%,-20.31%,-42.66%
-56.44%,-21.06%,-45.35%
-56.88%,-21.71%,-45.87%
-56.75%,-22.04%,-44.00%
-60.76%,-19.44%,-47.73%
-55.43%,-21.81%,-44.09%
-52.97%,-19.16%,-42.93%
-55.70%,-18.02%,-43.62%
-54.84%,-18.68%,-43.13%
-53.65%,-19.48%,-40.71%
-53.71%,-17.11%,-40.21%
-48.74%,-15.92%,-37.40%
-51.12%,-14.29%,-39.32%
-49.27%,-15.03%,-40.63%
-48.07%,-15.64%,-37.68%
-48.29%,-13.18%,-39.08%
-50.46%,-13.92%,-39.51%
-57.39%,-14.33%,-43.78%
-58.61%,-16.83%,-46.59%
-64.73%,-17.89%,-45.99%
-64.78%,-16.53%,-43.97%
-62.77%,-15.57%,-42.26%
-65.76%,-15.01%,-45.08%
-53.70%,-17.08%,-34.58%
-49.74%,-11.54%,-30.99%
-51.91%,-10.62%,-32.54%
-47.94%,-11.51%,-29.64%
-51.63%,-10.64%,-33.15%
-55.35%,-11.46%,-33.84%
-56.38%,-11.77%,-34.16%
-58.51%,-11.30%,-35.72%
-57.05%,-11.69%,-33.91%
-54.39%,-10.33%,-32.63%
-54.84%,-9.77%,-33.57%
-56.23%,-11.31%,-35.44%
-57.46%,-11.47%,-36.08%
-52.12%,-8.37%,-30.83%
-49.72%,-8.46%,-29.63%
-51.32%,-8.58%,-31.11%
-56.42%,-10.37%,-33.35%
-58.32%,-11.81%,-35.48%
-57.85%,-12.00%,-35.85%
-54.13%,-11.24%,-33.47%
-54.63%,-11.98%,-33.91%
-51.34%,-10.55%,-31.72%
-49.08%,-9.82%,-29.78%
-48.79%,-10.43%,-30.74%
-52.86%,-12.92%,-34.63%
-53.39%,-14.03%,-35.22%
-56.14%,-14.93%,-36.99%
-55.38%,-14.83%,-37.03%
-54.24%,-13.34%,-35.55%
-56.89%,-14.79%,-39.11%
-57.34%,-14.20%,-39.15%
-58.90%,-14.61%,-40.42%
-59.44%,-15.81%,-41.83%
-55.18%,-14.06%,-38.55%
-55.41%,-14.32%,-38.79%
-55.99%,-14.72%,-39.46%
-55.38%,-13.96%,-37.93%
-60.74%,-15.13%,-40.57%
-60.27%,-12.84%,-37.37%
-57.18%,-12.92%,-35.61%
-56.66%,-12.22%,-34.95%
